CRIM;AGE
0.00632;65.2
0.02731;78.9
0.02729;61.1
0.03237;45.8
0.06905;54.2
0.02985;58.7
0.08829;66.6
0.14455;96.1
0.21124;100
0.17004;85.9
0.22489;94.3
0.11747;82.9
0.09378;39
0.62976;61.8
0.63796;84.5
0.62739;56.5
105.393;29.3
0.7842;81.7
0.80271;36.6
0.7258;69.5
125.179;98.1
0.85204;89.2
123.247;91.7
0.98843;100
0.75026;94.1
0.84054;85.7
0.67191;90.3
0.95577;88.8
0.77299;94.4
100.245;87.3
113.081;94.1
135.472;100
138.799;82
115.172;95
161.282;96.9
0.06417;68.2
0.09744;61.4
0.08014;41.5
0.17505;30.2
0.02763;21.8
0.03359;15.8
0.12744;2.9
0.1415;6.6
0.15936;6.5
0.12269;40
0.17142;33.8
0.18836;33.3
0.22927;85.5
0.25387;95.3
0.21977;62
0.08873;45.7
0.04337;63
0.0536;21.1
0.04981;21.4
0.0136;47.6
0.01311;21.9
0.02055;35.7
0.01432;40.5
0.15445;29.2
0.10328;47.2
0.14932;66.2
0.17171;93.4
0.11027;67.8
0.1265;43.4
0.01951;59.5
0.03584;17.8
0.04379;31.1
0.05789;21.4
0.13554;36.8
0.12816;33
0.08826;6.6
0.15876;17.5
0.09164;7.8
0.19539;6.2
0.07896;6
0.09512;45
0.10153;74.5
0.08707;45.8
0.05646;53.7
0.08387;36.6
0.04113;33.5
0.04462;70.4
0.03659;32.2
0.03551;46.7
0.05059;48
0.05735;56.1
0.05188;45.1
0.07151;56.8
0.0566;86.3
0.05302;63.1
0.04684;66.1
0.03932;73.9
0.04203;53.6
0.02875;28.9
0.04294;77.3
0.12204;57.8
0.11504;69.6
0.12083;76
0.08187;36.9
0.0686;62.5
0.14866;79.9
0.11432;71.3
0.22876;85.4
0.21161;87.4
0.1396;90
0.13262;96.7
0.1712;91.9
0.13117;85.2
0.12802;97.1
0.26363;91.2
0.10793;54.4
0.10084;81.6
0.12329;92.9
0.22212;95.4
0.14231;84.2
0.17134;88.2
0.13158;72.5
0.15098;82.6
0.13058;73.1
0.14476;65.2
0.06899;69.7
0.07165;84.1
0.09299;92.9
0.15038;97
0.09849;95.8
0.16902;88.4
0.38735;95.6
0.25915;96
0.32543;98.8
0.88125;94.7
0.34006;98.9
119.294;97.7
0.59005;97.9
0.32982;95.4
0.97617;98.4
0.55778;98.2
0.32264;93.5
0.35233;98.4
0.2498;98.2
0.54452;97.9
0.2909;93.6
162.864;100
332.105;100
40.974;100
277.974;97.8
237.934;100
215.505;100
236.862;95.7
233.099;93.8
273.397;94.9
16.566;97.3
149.632;100
112.658;88
214.918;98.5
141.385;96
353.501;82.6
244.668;94
122.358;97.4
134.284;100
142.502;100
127.346;92.6
146.336;90.8
183.377;98.2
151.902;93.9
224.236;91.8
2.924;93
201.019;96.2
180.028;79.2
23.004;96.1
244.953;95.2
120.742;94.6
23.139;97.3
0.13914;88.5
0.09178;84.1
0.08447;68.7
0.06664;33.1
0.07022;47.2
0.05425;73.4
0.06642;74.4
0.0578;58.4
0.06588;83.3
0.06888;62.2
0.09103;92.2
0.10008;95.6
0.08308;89.8
0.06047;68.8
0.05602;53.6
0.07875;41.1
0.12579;29.1
0.0837;38.9
0.09068;21.5
0.06911;30.8
0.08664;26.3
0.02187;9.9
0.01439;18.8
0.01381;32
0.04011;34.1
0.04666;36.6
0.03768;38.3
0.0315;15.3
0.01778;13.9
0.03445;38.4
0.02177;15.7
0.0351;33.2
0.02009;31.9
0.13642;22.3
0.22969;52.5
0.25199;72.7
0.13587;59.1
0.43571;100
0.17446;92.1
0.37578;88.6
0.21719;53.8
0.14052;32.3
0.28955;9.8
0.19802;42.4
0.0456;56
0.07013;85.1
0.11069;93.8
0.11425;92.4
0.35809;88.5
0.40771;91.3
0.62356;77.7
0.6147;80.8
0.31533;78.3
0.52693;83
0.38214;86.5
0.41238;79.9
0.29819;17
0.44178;21.4
0.537;68.1
0.46296;76.9
0.57529;73.3
0.33147;70.4
0.44791;66.5
0.33045;61.5
0.52058;76.5
0.51183;71.6
0.08244;18.5
0.09252;42.2
0.11329;54.3
0.10612;65.1
0.1029;52.9
0.12757;7.8
0.20608;76.5
0.19133;70.2
0.33983;34.9
0.19657;79.2
0.16439;49.1
0.19073;17.5
0.1403;13
0.21409;8.9
0.08221;6.8
0.36894;8.4
0.04819;32
0.03548;19.1
0.01538;34.2
0.61154;86.9
0.66351;100
0.65665;100
0.54011;81.8
0.53412;89.4
0.52014;91.5
0.82526;94.5
0.55007;91.6
0.76162;62.8
0.7857;84.6
0.57834;67
0.5405;52.6
0.09065;61.5
0.29916;42.1
0.16211;16.3
0.1146;58.7
0.22188;51.8
0.05644;32.9
0.09604;42.8
0.10469;49
0.06127;27.6
0.07978;32.1
0.21038;32.2
0.03578;64.5
0.03705;37.2
0.06129;49.7
0.01501;24.8
0.00906;20.8
0.01096;31.9
0.01965;31.5
0.03871;31.3
0.0459;45.6
0.04297;22.9
0.03502;27.9
0.07886;27.7
0.03615;23.4
0.08265;18.4
